"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-01-15","2023","01","15","†","-8.0","","-16.0","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-01-16","2023","01","16","†","-4.0","","-17.0","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-01-17","2023","01","17","†","0.0","","-14.0","","-7.0","","25.0","","0.0","","7.0","","0.0","","7.0","","0","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-01-18","2023","01","18","†","1.0","","-2.0","","-0.5","","18.5","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-01-19","2023","01","19","†","-1.0","","-7.0","","-4.0","","22.0","","0.0","","1.4","","1.8","","3.2","","0","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-01-20","2023","01","20","†","-1.0","","-2.0","","-1.5","","19.5","","0.0","","0.0","","2.0","","2.0","","0","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-01-21","2023","01","21","†","-2.0","","-3.0","","-2.5","","20.5","","0.0","","0.2","","0.0","T","0.2","","0","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-01-22","2023","01","22","†","0.0","","-3.0","","-1.5","","19.5","","0.0","","0.2","","4.0","","4.2","","0","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-01-23","2023","01","23","†","-1.0","","-3.0","","-2.0","","20.0","","0.0","","0.0","","1.0","","1.0","","0","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-01-24","2023","01","24","†","3.0","","-1.0","","1.0","","17.0","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-01-25","2023","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-01-26","2023","01","26","†","-4.0","","-11.0","","-7.5","","25.5","","0.0","","0.0","","4.0","","4.0","","0","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-01-27","2023","01","27","†","-1.0","","-14.0","","-7.5","","25.5","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-01-28","2023","01","28","†","1.0","","-5.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-01-29","2023","01","29","†","-5.0","","-10.0","","-7.5","","25.5","","0.0","","0.0","","13.0","","13.0","","0","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-01-30","2023","01","30","†","-4.0","","-10.0","","-7.0","","25.0","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-01-31","2023","01","31","†","-6.5","","-17.0","","-11.8","","29.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-01","2023","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-02","2023","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-03","2023","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-04","2023","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-05","2023","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-06","2023","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-07","2023","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-08","2023","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-09","2023","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-10","2023","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-11","2023","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-12","2023","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-13","2023","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-14","2023","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-15","2023","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-16","2023","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-17","2023","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-18","2023","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-19","2023","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-20","2023","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-21","2023","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-22","2023","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-23","2023","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-24","2023","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-25","2023","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-26","2023","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-27","2023","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-02-28","2023","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-01","2023","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-02","2023","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-03","2023","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-04","2023","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-05","2023","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-06","2023","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-07","2023","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-08","2023","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-09","2023","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-10","2023","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-11","2023","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-12","2023","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-13","2023","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-14","2023","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-15","2023","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-16","2023","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-17","2023","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-18","2023","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-19","2023","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-20","2023","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-21","2023","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-22","2023","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-23","2023","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-24","2023","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-25","2023","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-26","2023","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-27","2023","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-28","2023","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-29","2023","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-30","2023","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-03-31","2023","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-01","2023","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-02","2023","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-03","2023","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-04","2023","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-05","2023","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-06","2023","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-07","2023","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-08","2023","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-09","2023","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-10","2023","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-11","2023","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-12","2023","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-13","2023","04","13","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-14","2023","04","14","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-15","2023","04","15","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-16","2023","04","16","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-17","2023","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-18","2023","04","18","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-19","2023","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-20","2023","04","20","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-21","2023","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-22","2023","04","22","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-23","2023","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-24","2023","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-25","2023","04","25","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-26","2023","04","26","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-27","2023","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-28","2023","04","28","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-29","2023","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-04-30","2023","04","30","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-01","2023","05","01","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-02","2023","05","02","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-03","2023","05","03","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-04","2023","05","04","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-05","2023","05","05","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-06","2023","05","06","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-07","2023","05","07","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-08","2023","05","08","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-09","2023","05","09","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-10","2023","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-11","2023","05","11","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-12","2023","05","12","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-13","2023","05","13","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-14","2023","05","14","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-15","2023","05","15","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-16","2023","05","16","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-17","2023","05","17","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-18","2023","05","18","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-19","2023","05","19","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-20","2023","05","20","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-21","2023","05","21","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-22","2023","05","22","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-23","2023","05","23","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-24","2023","05","24","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-25","2023","05","25","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-26","2023","05","26","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-27","2023","05","27","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-28","2023","05","28","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-29","2023","05","29","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-30","2023","05","30","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-05-31","2023","05","31","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-01","2023","06","01","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-02","2023","06","02","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-03","2023","06","03","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-04","2023","06","04","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-05","2023","06","05","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-06","2023","06","06","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-07","2023","06","07","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-08","2023","06","08","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-09","2023","06","09","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-10","2023","06","10","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-11","2023","06","11","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-12","2023","06","12","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-13","2023","06","13","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-14","2023","06","14","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-15","2023","06","15","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-16","2023","06","16","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-17","2023","06","17","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-18","2023","06","18","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-19","2023","06","19","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-20","2023","06","20","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-21","2023","06","21","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-22","2023","06","22","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-23","2023","06","23","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-24","2023","06","24","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-25","2023","06","25","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-26","2023","06","26","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-27","2023","06","27","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-28","2023","06","28","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-29","2023","06","29","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-06-30","2023","06","30","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-07-01","2023","07","01","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-07-02","2023","07","02","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-07-03","2023","07","03","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-07-04","2023","07","04","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-07-05","2023","07","05","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-07-06","2023","07","06","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-07-07","2023","07","07","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-07-08","2023","07","08","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-07-09","2023","07","09","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-07-10","2023","07","10","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-07-11","2023","07","11","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-07-12","2023","07","12","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-07-13","2023","07","13","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","44.60","BROCKVILLE PCC","6100971","2023-07-14","2023","07","14","","","","","","","","","","","","","","","","","","","","","","",""
